Date, Open, High, Low, Close
05/22/23, 41753.09, 41964.23, 41649.19, 41817.35
05/19/23, 41935.16, 41977.10, 41629.74, 41745.42
05/18/23, 41412.62, 41884.12, 41387.43, 41840.82
05/17/23, 41087.12, 41499.31, 40950.07, 41444.34
05/16/23, 41102.80, 41176.77, 40911.57, 40911.85
05/15/23, 41115.95, 41290.37, 40958.82, 41234.29
05/12/23, 41240.95, 41268.93, 40812.35, 41056.83
05/11/23, 41147.13, 41154.47, 40933.31, 41133.91
05/10/23, 41341.37, 41413.60, 40851.29, 41233.17
05/09/23, 41054.54, 41163.44, 41002.38, 41047.86
05/08/23, 41238.65, 41265.82, 41073.05, 41219.91
05/05/23, 40786.37, 41298.62, 40786.37, 41193.76
05/04/23, 40624.00, 40647.52, 40280.78, 40425.87
05/03/23, 41038.75, 41330.18, 40720.49, 40737.27
05/02/23, 41418.57, 41418.57, 40675.64, 40982.31
05/01/23, 41478.53, 41690.52, 41459.98, 41501.73
04/28/23, 41088.23, 41512.67, 41078.69, 41511.66
04/27/23, 40644.18, 41198.06, 40629.36, 41171.63
04/26/23, 40680.45, 40763.68, 40345.87, 40414.80
04/25/23, 41093.35, 41108.45, 40579.80, 40579.82
04/24/23, 41253.31, 41359.44, 41092.76, 41285.17
04/21/23, 41276.06, 41315.83, 41063.12, 41271.18
04/20/23, 41179.13, 41424.40, 41089.01, 41238.43
04/19/23, 41285.90, 41569.16, 41274.80, 41491.68
04/18/23, 41624.28, 41650.11, 41344.68, 41487.52
04/17/23, 41279.05, 41461.66, 41173.21, 41460.97
04/14/23, 41333.55, 41575.35, 41041.63, 41290.28
04/13/23, 41000.53, 41439.16, 40953.34, 41401.01
04/12/23, 41286.83, 41337.87, 40822.71, 40870.03
04/11/23, 41059.91, 41216.28, 40973.11, 41059.29
04/10/23, 40681.77, 41018.21, 40614.85, 41018.00
04/06/23, 40692.08, 40949.57, 40578.01, 40927.19
04/05/23, 40857.93, 40911.65, 40608.53, 40795.44
04/04/23, 41306.70, 41310.29, 40810.97, 40954.17
04/03/23, 41049.81, 41306.75, 40976.20, 41249.22
03/31/23, 40629.29, 41146.91, 40629.29, 41136.55
03/30/23, 40558.49, 40622.14, 40331.26, 40513.24
03/29/23, 40100.14, 40330.06, 40031.66, 40302.89
03/28/23, 39743.34, 39825.19, 39535.81, 39733.86
03/27/23, 39925.76, 40028.61, 39691.62, 39787.43
03/24/23, 39286.73, 39695.76, 39040.37, 39678.51
03/23/23, 39643.02, 40098.15, 39169.54, 39465.09
